,DLQMC,Least squares,QMC 128
"integrated area: $[0.55,0.80]\times [0.35,0.60]$",0.29410012889507053,0.15112076791194484,1.0
"integrated area: $[0.75,1.00]\times [0.75,1.00]$",0.6469817094862221,0.34840362755696497,1.0
