,QMC_128,QMC_128,DLQMC,DLQMC,DLbQMC,DLbQMC,Least squares,Least squares
,mean,var,mean,var,mean,var,mean,var
"integrated area: $[0.55,0.80]\times [0.35,0.60]$",1.0,1.0,0.23138435561450088,41.80982000535615,0.23149618470567718,34.48760928734733,0.64070418501184,0.17727271153013652
"integrated area: $[0.75,1.00]\times [0.75,1.00]$",1.0,1.0,0.2570232863267796,0.38122794981759645,0.2569943639132276,0.3735682741359935,0.8620442154674155,0.3345426498989836
